v4_0,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,registration-or-occurrence,RegistrationOrOccurrence
16,2026,2026,E12000001,North East,week-6,Week 6,all,All,55-59,55-59,registrations,Registrations
5,2026,2026,W92000004,Wales,week-6,Week 6,female,Female,55-59,55-59,registrations,Registrations
15,2026,2026,W92000004,Wales,week-6,Week 6,male,Male,55-59,55-59,registrations,Registrations
366,2026,2026,W92000004,Wales,week-6,Week 6,female,Female,all-ages,All ages,registrations,Registrations
353,2026,2026,E12000001,North East,week-6,Week 6,male,Male,all-ages,All ages,registrations,Registrations
28,2026,2026,E12000007,London,week-6,Week 6,male,Male,55-59,55-59,registrations,Registrations
286,2026,2026,E92000001,England,week-6,Week 6,female,Female,65-69,65-69,registrations,Registrations
67,2026,2026,E12000002,North West,week-6,Week 6,male,Male,65-69,65-69,registrations,Registrations
60,2026,2026,E12000006,East of England,week-6,Week 6,female,Female,70-74,70-74,registrations,Registrations
99,2026,2026,W92000004,Wales,week-6,Week 6,all,All,75-79,75-79,registrations,Registrations
552,2026,2026,E12000004,East Midlands,week-6,Week 6,male,Male,all-ages,All ages,registrations,Registrations
279,2026,2026,E12000008,South East,week-6,Week 6,all,All,75-79,75-79,registrations,Registrations
556,2026,2026,E12000007,London,week-6,Week 6,male,Male,all-ages,All ages,registrations,Registrations
6,2026,2026,E12000006,East of England,week-6,Week 6,all,All,0-1,0-1,registrations,Registrations
3,2026,2026,E12000002,North West,week-6,Week 6,female,Female,0-1,0-1,registrations,Registrations
0,2026,2026,E12000002,North West,week-6,Week 6,all,All,1-4,1-4,registrations,Registrations
79,2026,2026,E12000004,East Midlands,week-6,Week 6,male,Male,75-79,75-79,registrations,Registrations
102,2026,2026,E12000005,West Midlands,week-6,Week 6,male,Male,80-84,80-84,registrations,Registrations
2,2026,2026,E12000006,East of England,week-6,Week 6,male,Male,35-39,35-39,registrations,Registrations
